train_eps_1,train_eps_2,train_eps_3,train_eps_4,train_eps_5,train_eps_6,train_eps_7,train_eps_8,train_eps_9,train_eps_10,train_eps_11,train_eps_12,train_eps_13
-0.219752870290117,-0.169282079691253,-0.186051819676022,-0.135727593475864,-0.175459498696637,-0.230592696520271,-0.274658671786298,-0.321139412644061,-0.284751476239246,-0.280257062004203,-0.373153046906745,-0.545063406358995,-0.566272836886692
-0.413418262605429,-0.405829977235326,-0.555780811363131,-0.691243713023232,-0.512160850375106,-0.315036646025584,-0.464858804251802,-0.423281838601597,-0.535746277837108,-0.474367746337778,-0.521214111029881,-0.236519307176022,-0.242359523877593
-1.0512491658086,-1.22764387468932,-1.03900865131596,-1.06100325220974,-1.23345283420857,-1.17505232605939,-1.18267048411742,-1.16405063902756,-1.2276047852491,-1.13004698023745,-1.40655744183269,-1.04911579069114,-1.19630854845655
-0.44246626440597,-0.341499864169043,-0.425544436415092,-0.295667244449565,-0.275233651124436,-0.283017839420471,-0.41992231440704,-0.275962487992971,-0.254592101221057,-0.251775887036289,-0.236318499057536,-0.486377146428969,-0.747745759905227
-0.387783711857392,-0.407921485495126,-0.41367312372985,-0.300573320557788,-0.424453443898821,-0.228314517159849,-0.313828232887414,-0.291927057908613,-0.153238799182228,-0.131147628517146,-0.143529882132358,-0.0288809746511748,0.0673210319496802
-0.288094349411423,-0.249829699025491,-0.251594534705667,-0.40174828026377,-0.395472415612454,-0.291069942206076,-0.213997795972633,-0.4806559019208,-0.383269383501029,-0.50514562537985,-0.38549777559344,-0.379227386873241,-0.186053946598145
-0.166355091294164,-0.128184058926981,-0.266477572068509,-0.232332168099295,-0.231674377530382,-0.145093403313917,-0.035623764894699,-0.0745590967068268,-0.155985046041044,-0.193343193756742,-0.227827637745784,-0.0821335457004505,-0.0892824849868756
-0.125817182060304,-0.0624332760295045,-0.0546314413142454,-0.177908994463676,-0.274322723557705,-0.240509108111085,-0.276331064226704,-0.291064664224209,-0.406989254915224,-0.385587251577917,-0.346491263081784,-0.715793951820915,-0.571255053260525
-0.250039994634673,-0.284008492044376,-0.233865516348467,-0.238655938609148,-0.230642926912017,-0.208150083960229,-0.324139294507912,-0.29104043974144,-0.386703033279341,-0.349934328508754,-0.325168603950117,-0.139109877993183,-0.0826612583978033
-0.607112671062148,-0.51391826635901,-0.578037677089409,-0.470314566723311,-0.466121138300438,-0.565236231128649,-0.491613559854052,-0.531017037090757,-0.576058282819363,-0.629260237209682,-0.748326572515118,-0.589688715631596,-0.545889660618111
-0.140297272213414,-0.124876821613561,-0.0588713173140896,0.0149670482357088,-0.185836513337843,-0.24471333461891,-0.267795019094372,-0.189877877966556,-0.281128660705625,-0.131566449169945,-0.032346282282885,-0.388279886961728,-0.434974040322297
-0.329661727594361,-0.309449988859241,-0.288701453530028,-0.271206832750699,-0.221292571153533,-0.217120207906371,-0.281974508171204,-0.352005022627371,-0.306319467146693,-0.332892154404658,-0.393794207135287,-0.918668487162068,-0.516962599878403
-0.162938065189258,-0.185390110556131,-0.304615354235585,-0.379162431707562,-0.363453950107045,-0.307727415788693,-0.322008767673551,-0.347297725678337,-0.33670424862319,-0.378672915197901,-0.445437754581379,-0.362027209846949,-0.726756236845539
-0.364431336829676,-0.373813457954823,-0.508464404379112,-0.330234479215393,-0.430986419196296,-0.341607950253761,-0.364499683318997,-0.328235047165546,-0.260825541423618,-0.222695290324196,-0.303421843781624,-0.243655412705855,-0.164760610807634
-0.243867260299499,-0.114576840814026,-0.231995460584114,-0.261705636316158,-0.299273063505502,-0.504227042363003,-0.561238128006962,-0.648068928203082,-0.784711408286359,-0.770637680089074,-0.861595200924029,-0.452171901628791,-0.147879574401842
-0.195078429163442,-0.220548611109145,-0.0879143356699691,-0.231457710347756,-0.279439186501423,-0.283170963357424,-0.221324458151913,-0.114504751499595,-0.221274887062724,-0.183526460545291,-0.101224846325272,-0.275801540813311,-0.266981739119472
-0.923952799637287,-0.964089470575902,-0.906108878947492,-0.842955065559428,-0.919269654583001,-0.798386777660283,-0.732877024398113,-0.589267441716868,-0.578493959915904,-0.47021694366802,-0.354291483934182,-0.573806085765203,-0.626573578538818
-0.700903943247165,-0.799490594622257,-0.801539559464362,-1.03896454228721,-0.886396956681066,-0.807614146637449,-0.683096258916409,-0.228983365830221,-0.235044763300799,-0.408844775156165,-0.0559559544145657,-0.1691025716835,-0.197297903336478
-0.664055849700046,-0.692192115497196,-0.775772020375596,-0.782703709323773,-0.893578708727008,-0.996185080253603,-1.05302907905864,-0.847789607794898,-1.00209440283616,-0.938235424244939,-0.946518899546046,-0.50443622045465,-0.401660948015091
-0.34956605802205,-0.253012226988647,-0.244623587384357,-0.26123368480678,-0.362169244113153,-0.145466705893402,-0.332509702865358,-0.195329388910759,-0.236459328460555,-0.0936654895857187,-0.14111622966045,-0.484701605897106,-0.940387403031917
-0.574656623759621,-0.760532192183557,-0.764420391886346,-0.670696743648122,-0.73901438343122,-0.889649226162056,-0.67281389249896,-0.60428270679554,-0.676891571912522,-0.591801052847723,-0.761941547253614,-0.595252854982499,-0.528238159785424
-0.248904291037402,-0.439638001263613,-0.419967933306982,-0.425331887216667,-0.266836859776171,-0.251940962383306,-0.158386507155196,-0.372022489903311,-0.125802944762005,-0.318713842182634,-0.153610070887754,-0.316774884863165,-0.319481022736291
-0.478872009023763,-0.538814520196894,-0.52317947285318,-0.591384242898481,-0.6521002730657,-0.492809806595825,-0.342397946549417,-0.238732351957762,-0.158836280113682,-0.304973021200455,-0.136981522967451,-0.373074042311745,-0.234157428462947
-0.0869876338627549,-0.248548609524528,-0.196933187364345,-0.230516145746206,-0.287838604560314,-0.368583540117052,-0.243467347897346,-0.355939905332674,-0.336902065784905,-0.364222098039537,-0.559065901698553,-0.562732287580367,-0.43871475653165
