train_u_1,train_u_2,train_u_3,train_u_4,train_u_5,train_u_6,train_u_7,train_u_8,train_u_9,train_u_10,train_u_11,train_u_12,train_u_13
1.08757302144199,0.890195067429239,0.949938408719975,0.924420816055121,1.04715202879568,1.11016616687292,1.14331005673464,1.24623174962143,1.26059702908165,1.09232180005911,1.12914003402522,0.445183621064785,0.768982097048204
0.0966507115418412,0.0976374802404428,0.098981453570051,0.111062522998886,0.146352046621022,0.105706050265473,0.131959670052726,0.155975891558095,0.160935539674117,0.207005181424598,0.21770303084563,0.118918981026636,0.220085469336435
0.332552286884307,0.277376071952534,0.285919121377299,0.28323298196448,0.300925915139362,0.37154699207162,0.397270079890463,0.431342034992985,0.455507826407419,0.357468915860986,0.315915276362859,0.540792626783508,0.441633611297614
0.54344577181686,0.56012997862441,0.538666558932578,0.586011536534978,0.574549208669969,0.56944102810405,0.579912758604564,0.626203555191191,0.618099043054312,0.695821867449516,0.778812661794771,0.1110629796295,0.0658095993823879
0.652269864157671,0.475101041731822,0.535254665408042,0.427349343526678,0.457111017734344,0.550463069542004,0.6303485631375,0.849885043972407,0.811955262480494,0.797913788525319,0.769831303578262,0.423586223337499,0.294791237541765
0.49961816802904,0.568723088299412,0.551487622841563,0.483758885489169,0.390205234750941,0.472698282105433,0.470934017420147,0.539393791948868,0.515823503989219,0.622701314962662,0.763302616574038,0.88621270199705,0.7077757412561
0.00989986161511543,0.00996293833481764,0.0115572302272475,0.0112145930838863,0.0144057061264066,0.0176726970860565,0.0154821172903621,0.0150931791094546,0.0250676742169954,0.00989183013493243,0.032545352989208,0.548959099586126,0.676053375971029
0.287768220268468,0.3085097176284,0.310207500835221,0.267070145782231,0.222853514441843,0.203431007236738,0.179164701357765,0.152062486086278,0.133621078605678,0.154593359093591,0.137123195716628,0.0534329750012387,0.066338859775731
0.408844254387099,0.479487601772276,0.48977737012082,0.55355113150746,0.629009879699831,0.54080626217806,0.501408600732948,0.362335590541905,0.415585087784144,0.328176115988,0.35015560464561,0.259810616823488,0.502190724831678
0.192268387001084,0.191140654554473,0.190062475108273,0.188896021872175,0.191050708420634,0.129923478472906,0.132020766662376,0.127185086869455,0.108519778211603,0.158929937673489,0.128397466369005,0.0122643586987291,0.0427683150300385
